designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 5966503975592717824",5966503975592717824,253.48848515017025,-41.87292180061585,-1.0243759320227797,4.887548309457051,0.8804954221084527,1.2623314,19.632416,1.1149025,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975592724096",5966503975592724096,253.48693586839786,-41.872629926854344,0.42838331643124844,-0.7604964278309294,-2.947374957014942,0.9599681,18.346699,1.7049751,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3719.368,4.3272,-1.9937,644.2991,0.0172,0.0123,0.0066
"Gaia DR3 5966503975592729600",5966503975592729600,253.48255001801482,-41.87387903903978,0.49756488237413343,-1.9724585481383745,-1.6985322515618777,1.011532,19.245426,2.5366154,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975592729856",5966503975592729856,253.48630210999133,-41.87155038804958,1.9405870150160904,-3.1908369323484265,-2.8743675841920657,2.042111,18.246088,2.0171165,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,4319.2886,4.5386,0.0021,1215.0543,1.2273,0.8891,0.4743
"Gaia DR3 5966503975592759296",5966503975592759296,253.48072463049417,-41.867493564583455,0.12578965697767605,-1.2915116376666487,-3.229797029673279,1.0505774,19.834873,1.4978142,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975592767360",5966503975592767360,253.48137191688193,-41.86495360595693,0.5875646610194218,-0.9880539721650485,-0.18079099154585804,1.0336028,19.216328,2.2578182,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975595010816",5966503975595010816,253.49599700409522,-41.882579220747246,1.497052033455646,-5.703243209953928,-7.2484355440542885,1.127635,20.374575,0.96577454,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975595023104",5966503975595023104,253.4962368222666,-41.87449408281814,1.292222898093704,-2.3417813644943113,-3.9202483577541045,0.99652314,20.097965,2.048853,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975595039360",5966503975595039360,253.48015480572454,-41.871859722639705,0.5227916714207821,-1.882622032431367,-3.6778492730436034,1.005554,18.569883,1.5484943,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3797.6274,4.3999,-2.0741,628.4603,0.5809,0.4128,0.223
"Gaia DR3 5966503975595042048",5966503975595042048,253.48244000795256,-41.86869170821958,2.845963645488915,-4.287054184316673,-3.9203880018273343,0.9889963,20.352087,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975595054720",5966503975595054720,253.48317241568355,-41.86086578204045,3.055121103858797,-5.192436279579965,-3.524681879379548,1.2101879,20.34167,1.8669033,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975596046848",5966503975596046848,253.49496163854462,-41.872597916557964,0.18831297068033123,-1.2764025251880091,-2.6722049351998804,0.96881366,20.596212,0.7270832,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975596047104",5966503975596047104,253.49490818031757,-41.87284609457387,0.4799628804905568,2.6418651098658046,-2.7668535797842804,1.0527987,20.348057,0.7698593,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
